,focalYear,focalSample,focalYSLabel,targetYear,targetSample,targetYSLabel,Cohort,CohortLabel,statType,subject,grade,jurisdiction,jurisLabel,scale,variable,variableLabel,valLabel,valValue,focalValue,isFocalStatDisplayable,focalErrorFlag,targetValue,isTargetStatDisplayable,targetErrorFlag,isSigDisplayable,gap,sig
2,2000,R2,2000&#185;,2000,R3,2000,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,273.420306582147,1,8,271.088867781209,1,0,1,2.33143880093803,EQUAL
3,2000,R3,2000,2000,R2,2000&#185;,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,252.861271651751,1,0,255.136084892513,1,8,1,-2.274813240762,EQUAL
4,2000,R3,2000,2000,R2,2000&#185;,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,282.993046174128,1,0,284.60997132966,1,8,1,-1.61692515553204,EQUAL
5,2000,R3,2000,2000,R2,2000&#185;,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,271.088867781209,1,0,273.420306582147,1,8,1,-2.33143880093803,EQUAL
0,1996,R2,1996&#185;,1996,R3,1996,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,281.393327884381,1,8,280.185974533146,1,0,1,1.20735335123499,EQUAL
1,1996,R2,1996&#185;,1996,R3,1996,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,306.855752654154,1,8,305.753258067261,1,0,1,1.10249458689299,EQUAL
2,1996,R2,1996&#185;,1996,R3,1996,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,305.850603675958,1,8,299.673147892496,1,0,1,6.17745578346199,EQUAL
3,1996,R3,1996,1996,R2,1996&#185;,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,280.185974533146,1,0,281.393327884381,1,8,1,-1.20735335123499,EQUAL
4,1996,R3,1996,1996,R2,1996&#185;,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,305.753258067261,1,0,306.855752654154,1,8,1,-1.10249458689299,EQUAL
5,1996,R3,1996,1996,R2,1996&#185;,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,299.673147892496,1,0,305.850603675958,1,8,1,-6.17745578346199,EQUAL
0,2000,R2,2000&#185;,2000,R3,2000,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,279.954139140765,1,8,278.399255761907,1,0,1,1.55488337885799,EQUAL
1,2000,R2,2000&#185;,2000,R3,2000,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,304.258889389164,1,8,303.765796420374,1,0,1,0.493092968789995,EQUAL
2,2000,R2,2000&#185;,2000,R3,2000,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,299.753890919623,1,8,298.594977401422,1,0,1,1.15891351820102,EQUAL
3,2000,R3,2000,2000,R2,2000&#185;,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,278.399255761907,1,0,279.954139140765,1,8,1,-1.55488337885799,EQUAL
4,2000,R3,2000,2000,R2,2000&#185;,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,303.765796420374,1,0,304.258889389164,1,8,1,-0.493092968789995,EQUAL
5,2000,R3,2000,2000,R2,2000&#185;,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,298.594977401422,1,0,299.753890919623,1,8,1,-1.15891351820102,EQUAL
0,1998,R2,1998&#185;,1998,R3,1998,1,Grade 4,MN:MN,RED,4,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,198.185005201233,1,8,195.361323454314,1,0,1,2.82368174691899,EQUAL
1,1998,R2,1998&#185;,1998,R3,1998,1,Grade 4,MN:MN,RED,4,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,226.292145340307,1,8,225.793967942952,1,0,1,0.498177397354993,EQUAL
2,1998,R2,1998&#185;,1998,R3,1998,1,Grade 4,MN:MN,RED,4,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,224.613925847257,1,8,219.358253582416,1,0,1,5.255672264841,EQUAL
3,1998,R3,1998,1998,R2,1998&#185;,1,Grade 4,MN:MN,RED,4,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,195.361323454314,1,0,198.185005201233,1,8,1,-2.82368174691899,EQUAL
4,1998,R3,1998,1998,R2,1998&#185;,1,Grade 4,MN:MN,RED,4,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,225.793967942952,1,0,226.292145340307,1,8,1,-0.498177397354993,EQUAL
