,year,sample,yearSampleLabel,Cohort,CohortLabel,focalStatType,targetStatType,statType,subject,grade,jurisdiction,jurisLabel,scale,variable,variableLabel,focalValLabel,focalValValue,targetValLabel,targetValValue,focalValue,isFocalStatDisplayable,focalErrorFlag,targetValue,isTargetStatDisplayable,targetErrorFlag,isSigDisplayable,gap,sig
3,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,RED,4,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,High SES,3,211.546792256474,1,0,236.216391435936,1,0,1,-24.669599179462,LOWER
4,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,RED,4,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",High SES,3,Low SES,1,236.216391435936,1,0,197.364085782967,1,0,1,38.852305652969,HIGHER
5,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,RED,4,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",High SES,3,Middle SES,2,236.216391435936,1,0,211.546792256474,1,0,1,24.669599179462,HIGHER
0,2024,R3,2024,2,Grade 8,MN:MN,,MN:MN,RED,8,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Low SES,1,Middle SES,2,238.665197587021,1,0,255.238799851416,1,0,1,-16.573602264395,LOWER
1,2024,R3,2024,2,Grade 8,MN:MN,,MN:MN,RED,8,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Low SES,1,High SES,3,238.665197587021,1,0,279.386976587168,1,0,1,-40.721779000147,LOWER
2,2024,R3,2024,2,Grade 8,MN:MN,,MN:MN,RED,8,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,Low SES,1,255.238799851416,1,0,238.665197587021,1,0,1,16.573602264395,HIGHER
3,2024,R3,2024,2,Grade 8,MN:MN,,MN:MN,RED,8,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,High SES,3,255.238799851416,1,0,279.386976587168,1,0,1,-24.148176735752,LOWER
4,2024,R3,2024,2,Grade 8,MN:MN,,MN:MN,RED,8,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",High SES,3,Low SES,1,279.386976587168,1,0,238.665197587021,1,0,1,40.721779000147,HIGHER
5,2024,R3,2024,2,Grade 8,MN:MN,,MN:MN,RED,8,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",High SES,3,Middle SES,2,279.386976587168,1,0,255.238799851416,1,0,1,24.148176735752,HIGHER
0,2024,R3,2024,3,Grade 12,MN:MN,,MN:MN,RED,12,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Low SES,1,Middle SES,2,262.693602535083,1,0,277.564130053248,1,0,1,-14.870527518165,LOWER
1,2024,R3,2024,3,Grade 12,MN:MN,,MN:MN,RED,12,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Low SES,1,High SES,3,262.693602535083,1,0,299.547608256654,1,0,1,-36.854005721571,LOWER
2,2024,R3,2024,3,Grade 12,MN:MN,,MN:MN,RED,12,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,Low SES,1,277.564130053248,1,0,262.693602535083,1,0,1,14.870527518165,HIGHER
3,2024,R3,2024,3,Grade 12,MN:MN,,MN:MN,RED,12,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,High SES,3,277.564130053248,1,0,299.547608256654,1,0,1,-21.983478203406,LOWER
4,2024,R3,2024,3,Grade 12,MN:MN,,MN:MN,RED,12,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",High SES,3,Low SES,1,299.547608256654,1,0,262.693602535083,1,0,1,36.854005721571,HIGHER
5,2024,R3,2024,3,Grade 12,MN:MN,,MN:MN,RED,12,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",High SES,3,Middle SES,2,299.547608256654,1,0,277.564130053248,1,0,1,21.983478203406,HIGHER
